Country,YearBuilt,Type,Length_m,BrandPrestige,Price_USD
USA,2024,Motor,36.38,3,3696003.04
Turkey,2019,Motor,50.26,2,4418830.96
Germany,2022,Catamaran,31.73,2,1989248.45
USA,2020,Motor,18.84,4,706112.82
Spain,2023,Catamaran,30.79,4,2123505.54
USA,2023,Motor,62.85,4,14215614.43
Italy,2024,Motor,120.48,5,120391980.8
USA,2024,Motor,38.72,3,4223388.16
USA,2023,Motor,42.54,2,4224082.77
USA,2021,Sailing,52.78,2,4988165.33
USA,2022,Motor,18.45,3,576854.88
Other,2020,Motor,29.53,4,1605993.49
Germany,2021,Motor,30.04,5,2728000.62
Other,2023,Sailing,17.51,2,303338.54
USA,2022,Motor,7.58,3,61860.59
Spain,2023,Catamaran,39.15,2,2819187.82
Other,2022,Motor,31.98,5,3163262.33
UK,2024,Motor,37.45,2,3242366.66
Netherlands,2022,Catamaran,13.01,2,171859.89
Netherlands,2024,Motor,30.15,2,886835.85
Other,2023,Motor,27.11,3,1437778.63
USA,2020,Motor,10.03,4,130578.27
Other,2022,Motor,35.5,1,1702344.4
Italy,2020,Motor,62.37,1,8696673.53
USA,2018,Motor,27.22,4,1346541.45
Spain,2020,Motor,15.28,2,225835.65
UK,2023,Motor,32.8,1,1854821.37
Other,2022,Motor,11.36,3,147075.77
France,2024,Motor,25.88,5,2333608.03
USA,2019,Motor,15.74,3,330680.29
Greece,2019,Sailing,25.24,5,1033233.4
Germany,2020,Catamaran,14.96,2,256714.1
Italy,2024,Motor,109.43,1,30381659.27
Other,2021,Motor,30.74,4,1816136.66
Other,2019,Motor,19.45,2,381298.01
Germany,2019,Motor,27.65,2,1013391.69
Spain,2023,Motor,29.89,4,2186218.52
USA,2020,Sailing,28.58,5,2115311.64
Italy,2023,Motor,12.44,3,251360.93
Italy,2022,Motor,46.92,3,2571108.9
Germany,2022,Motor,38.29,2,2655924.56
UK,2018,Catamaran,28.83,1,669851.2
Netherlands,2020,Motor,39.36,5,5356323.51
Spain,2022,Motor,24.45,3,896776.23
France,2023,Sailing,9.06,4,92239.02
Turkey,2024,Catamaran,31.76,1,1119077.84
Turkey,2021,Motor,31.95,2,1458068.75
USA,2021,Sailing,9.56,2,74466.42
Turkey,2018,Motor,14.49,3,176459.64
Turkey,2021,Motor,27.5,2,953328.72
Spain,2023,Motor,62.08,5,17070757.76
Other,2021,Motor,43.87,3,3339063.05
Netherlands,2024,Sailing,23.06,5,1572766.47
USA,2022,Motor,28.03,5,2659740.97
Other,2023,Motor,43.01,5,6684198.8
France,2024,Motor,37.73,4,4456363.31
France,2020,Motor,54.69,2,6290665.45
Spain,2021,Motor,11.34,3,143396.62
Turkey,2018,Motor,25.47,2,659187.73
Other,2024,Motor,8.19,5,104475.62
Italy,2019,Motor,17.25,3,393047.1
Spain,2023,Motor,24.46,3,1252501.67
Germany,2018,Motor,6.91,4,45184.22
Spain,2023,Motor,9.22,2,80322.86
Other,2024,Sailing,57.95,4,9339492.42
Italy,2021,Motor,21.78,5,857014.16
Spain,2023,Motor,24.18,1,671081.2
Germany,2020,Motor,54.18,4,7949405.9
Netherlands,2020,Sailing,34.52,2,1515412.6
France,2020,Motor,31.51,4,1960757.76
France,2023,Motor,8.55,2,72767.6
Italy,2024,Motor,28.03,3,1870102.61
USA,2022,Catamaran,39.33,4,4656066.12
Other,2024,Motor,43.44,4,5490876.63
Greece,2023,Motor,33.84,4,2997377.74
UK,2018,Motor,42.97,3,3714817.19
Other,2022,Sailing,26.76,2,858994.01
USA,2024,Motor,26.16,5,2140772.1
UK,2022,Motor,30.61,3,1931051.31
Italy,2023,Motor,15.44,2,383859.87
Netherlands,2024,Motor,29.56,4,2265376.51
Other,2021,Motor,37.3,2,2107527.67
France,2024,Motor,30.05,4,2455118.15
Other,2019,Motor,48.06,4,5730621.52
Netherlands,2021,Motor,74.49,4,20391569.75
Netherlands,2023,Motor,61.05,3,12621725.68
Greece,2020,Motor,35.78,3,2015177.02
USA,2023,Motor,32.31,2,2401374.61
Turkey,2019,Motor,27.62,4,1231437.91
Italy,2018,Motor,40.96,4,4143350.17
Italy,2018,Motor,19.06,2,363845.96
USA,2020,Motor,68.64,1,9819333.09
Italy,2024,Motor,12.32,5,358917.02
UK,2018,Motor,92.01,4,26973681.22
Spain,2024,Motor,102.98,4,55952641.79
Other,2023,Motor,36.95,1,1804117.36
Other,2020,Motor,7.94,2,45312.01
Netherlands,2022,Motor,67.17,3,13869726.79
Spain,2020,Motor,86.49,5,34505775.31
Other,2020,Motor,17.15,1,289075.05
USA,2019,Motor,37.4,3,2668304.96
Greece,2021,Motor,25.13,1,590499.24
Other,2023,Motor,20.2,1,438824.27
Germany,2023,Sailing,32.25,4,2154245.15
Other,2020,Motor,30.49,4,1562085.91
Germany,2021,Sailing,31.98,1,1146984.34
Spain,2023,Motor,30.91,3,1916310.66
Netherlands,2019,Motor,31.83,4,2168086.08
Netherlands,2023,Motor,18.85,2,484894.67
France,2024,Motor,11.63,1,149784.18
Greece,2024,Motor,82.76,2,19449194.6
Other,2018,Sailing,25.51,2,591150.94
Germany,2024,Motor,57.15,2,8996340.57
UK,2024,Motor,44.54,1,3906532.88
Germany,2019,Motor,36.7,5,4440949.46
Italy,2022,Catamaran,27.48,4,2161409.39
Other,2018,Sailing,12.67,5,182050.43
Spain,2018,Motor,23.3,4,824925.82
Spain,2020,Motor,41.49,5,5339874.24
Italy,2021,Catamaran,12.79,1,141339.46
Spain,2019,Motor,27.38,2,1002955.81
USA,2019,Motor,59.06,5,13290348.96
Italy,2023,Motor,25.08,2,1129068.3
Netherlands,2021,Motor,44.43,5,7944780.59
Other,2023,Motor,7.39,2,43600.62
Spain,2023,Motor,59.67,5,15758036.32
France,2022,Motor,18.11,5,952006.04
Turkey,2024,Motor,35.65,1,1907449.01
Spain,2023,Motor,49.65,5,9635925.16
USA,2020,Motor,54.83,2,6812674.55
Other,2021,Motor,9.72,1,69979.56
Other,2024,Motor,17.06,2,320026.56
Turkey,2024,Motor,6.21,1,22613.4
Netherlands,2021,Motor,19.37,1,339486.62
Italy,2022,Sailing,12.17,1,131751.2
France,2024,Motor,35.62,2,2979531.42
Italy,2021,Motor,14.83,5,471366.02
Germany,2019,Motor,37.37,3,2425089.5
Netherlands,2023,Catamaran,27.38,2,1244361.85
UK,2019,Motor,36.24,3,2209877.44
USA,2023,Motor,16.35,2,318147.18
Netherlands,2024,Motor,39.14,3,4009659.09
France,2024,Motor,79.71,1,15899346.19
UK,2019,Motor,39.76,1,2504710.1
UK,2020,Catamaran,27.16,3,1117474.47
Spain,2022,Motor,49.35,5,8857920.31
USA,2019,Motor,26.96,3,1148752.15
USA,2024,Motor,35.28,2,3219019.7
USA,2018,Motor,21.22,1,458513.76
Germany,2022,Sailing,17.38,1,281731.56
USA,2023,Motor,39.19,4,4625134.4
Turkey,2023,Motor,38.24,3,2545919.74
Netherlands,2022,Motor,62.62,3,12600877.25
Italy,2022,Sailing,12.91,4,222722.17
France,2018,Motor,27.99,4,1519903.13
USA,2024,Motor,45.93,3,6546046.6
Spain,2023,Motor,40.59,1,2870488.26
France,2019,Sailing,46.25,4,4582074.61
Netherlands,2022,Motor,27.57,3,1541986.74
Greece,2018,Catamaran,10.56,3,79849.0
Italy,2018,Motor,71.12,3,13958585.73
Greece,2021,Motor,17.49,2,329556.84
Other,2021,Motor,62.82,5,13717048.72
Germany,2018,Motor,38.09,2,2017617.19
France,2020,Motor,6.79,3,36491.68
Other,2018,Motor,40.57,5,4339453.03
Other,2021,Motor,35.44,1,1557025.54
USA,2021,Motor,37.34,2,3027455.79
Spain,2021,Motor,41.89,3,3375079.69
Netherlands,2022,Motor,40.38,1,2710035.25
UK,2021,Motor,8.68,3,68690.56
Italy,2018,Motor,27.81,1,908524.01
Other,2019,Motor,7.49,3,40530.9
USA,2019,Motor,38.43,2,2577783.08
Netherlands,2023,Motor,40.83,4,4827812.83
Spain,2022,Motor,21.31,3,670735.37
Spain,2018,Motor,13.97,3,184560.83
Other,2019,Motor,40.0,2,2105664.34
Greece,2023,Motor,15.74,5,559013.01
Netherlands,2023,Motor,31.02,1,1543345.0
USA,2023,Sailing,29.96,4,2111256.22
France,2023,Sailing,33.46,3,2080429.86
Other,2018,Motor,43.35,3,3043868.89
Spain,2020,Motor,30.79,2,1414689.11
UK,2021,Motor,66.19,2,12203140.83
USA,2021,Sailing,47.14,2,3807888.64
Turkey,2022,Motor,7.75,1,34556.67
Other,2024,Motor,35.05,4,3066892.01
Other,2019,Motor,39.18,5,4376968.51
Netherlands,2023,Motor,40.19,4,5148681.98
Other,2024,Motor,26.86,3,1352017.08
Other,2024,Motor,31.08,2,1824188.89
USA,2019,Sailing,24.18,3,739115.24
Spain,2021,Motor,45.03,3,3799531.24
Other,2022,Motor,15.95,3,327580.93
Other,2024,Motor,17.16,4,555689.99
Greece,2022,Motor,35.19,4,2810476.05
UK,2024,Motor,34.93,3,3289965.38
Turkey,2022,Sailing,42.71,3,3054037.77
USA,2024,Motor,82.88,4,29753411.48
Turkey,2022,Motor,22.34,5,1149136.59
Other,2022,Sailing,37.14,3,2397297.12
Netherlands,2020,Sailing,15.61,2,264816.38
Other,2019,Motor,32.22,1,1193321.24
Turkey,2021,Motor,7.4,1,28486.38
UK,2023,Motor,147.66,3,103693795.28
USA,2024,Motor,36.89,3,3593819.84
Other,2022,Motor,8.8,2,57786.36
Greece,2021,Motor,40.02,2,2981150.07
Italy,2022,Motor,29.88,3,1960475.62
France,2024,Motor,46.17,1,4038068.08
Turkey,2024,Motor,10.15,3,108249.74
Turkey,2024,Motor,28.22,1,973691.88
Other,2023,Motor,7.03,4,52779.18
Germany,2023,Motor,17.13,3,457950.98
USA,2023,Motor,35.99,2,3012814.38
Netherlands,2021,Motor,11.51,2,135797.16
Other,2024,Motor,27.8,2,1188089.78
Turkey,2021,Motor,25.37,3,866907.96
France,2020,Sailing,6.28,2,23317.52
UK,2021,Motor,37.96,3,3132213.18
Spain,2024,Motor,30.84,4,2389136.9
Netherlands,2023,Motor,35.28,4,2652504.14
Netherlands,2018,Sailing,28.71,4,1278775.33
Turkey,2018,Motor,14.81,3,177644.3
Netherlands,2022,Motor,15.95,4,451647.96
Netherlands,2024,Motor,81.74,2,19992751.06
UK,2019,Sailing,20.08,3,394353.74
France,2023,Motor,15.84,3,392167.43
Germany,2018,Motor,46.68,3,3668622.91
Italy,2021,Motor,32.52,2,1906157.5
USA,2020,Motor,25.25,1,808415.09
Germany,2020,Sailing,29.36,2,1059775.64
Germany,2024,Motor,39.42,5,6166053.44
Italy,2020,Motor,7.11,2,38533.16
Other,2019,Motor,28.08,4,1156042.54
Turkey,2021,Motor,30.19,5,2469366.7
Turkey,2020,Motor,26.2,5,1367642.92
France,2022,Sailing,15.15,3,311606.12
Germany,2024,Sailing,37.61,5,5638198.77
Spain,2019,Motor,38.02,5,3989706.46
Greece,2024,Motor,30.78,4,2480681.55
USA,2022,Motor,15.17,1,265344.71
USA,2024,Motor,31.83,3,2278477.18
France,2021,Motor,7.49,5,85531.38
UK,2019,Motor,36.6,5,4234264.16
Other,2024,Sailing,36.44,4,3200622.63
Spain,2021,Sailing,7.81,4,53486.41
Turkey,2024,Motor,25.53,2,947787.48
Other,2019,Motor,37.69,3,2069252.14
Italy,2022,Catamaran,20.96,1,511705.14
Turkey,2023,Sailing,42.98,4,3814826.27
Netherlands,2020,Motor,81.94,1,14478899.56
Other,2022,Motor,13.78,5,370208.2
UK,2023,Motor,11.13,2,136531.3
UK,2023,Motor,46.42,5,9129191.79
Other,2023,Motor,15.56,1,226821.83
Other,2022,Motor,33.13,4,2053221.18
France,2021,Sailing,31.77,5,2490954.34
Spain,2021,Motor,15.62,5,487474.37
Germany,2024,Motor,39.14,5,6325262.05
Other,2020,Motor,22.95,2,658826.7
USA,2019,Motor,41.82,4,5041397.95
Turkey,2020,Motor,39.58,3,2831338.01
USA,2018,Motor,17.03,3,298289.38
Turkey,2018,Motor,40.58,2,2063436.16
USA,2021,Motor,10.53,2,116119.86
Italy,2023,Sailing,32.55,4,2757593.55
Germany,2020,Motor,39.74,4,3698294.18
USA,2022,Motor,35.49,2,2697053.93
Turkey,2024,Motor,12.84,4,241924.53
Spain,2021,Motor,14.1,3,207225.6
Other,2021,Motor,34.55,2,1772420.14
UK,2018,Motor,43.16,5,6258676.9
Other,2020,Motor,6.28,1,17220.73
Italy,2020,Motor,44.88,2,4470973.29
USA,2024,Motor,50.3,3,7255046.61
Other,2018,Motor,21.12,3,973678.02
France,2024,Motor,15.37,2,355794.78
France,2021,Motor,63.61,5,18067289.75
Other,2020,Motor,13.54,2,164933.15
Other,2023,Motor,54.44,3,7878484.99
Other,2023,Sailing,39.37,2,2627777.62
Other,2020,Motor,13.63,2,159190.56
Italy,2021,Motor,35.22,5,4444090.99
Spain,2019,Motor,9.13,3,73641.59
USA,2024,Sailing,51.99,2,5762765.99
Other,2024,Motor,48.41,4,6653701.26
USA,2022,Motor,73.68,1,9848058.56
Turkey,2024,Motor,49.86,2,5065891.05
USA,2021,Motor,37.57,4,3349672.88
Spain,2022,Catamaran,38.65,2,2698385.72
Other,2020,Motor,41.85,5,5741621.24
Netherlands,2024,Sailing,41.53,3,3721171.95
Germany,2023,Motor,39.67,4,4479540.65
Greece,2023,Motor,10.1,2,89382.57
USA,2022,Motor,146.94,4,130607623.79
Other,2021,Motor,43.26,5,6279187.47
Turkey,2024,Motor,16.02,1,214015.43
Spain,2021,Motor,16.75,2,289828.09
USA,2021,Motor,47.14,4,6764691.46
Germany,2021,Sailing,28.52,2,1028170.18
Turkey,2019,Motor,8.01,3,48139.83
Italy,2022,Motor,60.44,5,21248725.64
Other,2018,Motor,21.65,2,416087.69
Other,2023,Motor,59.11,3,9083420.02
Italy,2021,Sailing,54.98,2,5579745.6
Germany,2022,Motor,34.73,1,1721857.17
Germany,2020,Motor,34.22,3,2309426.09
Italy,2020,Motor,25.85,4,1637747.66
Italy,2023,Catamaran,18.73,3,595812.51
France,2023,Sailing,27.83,2,1179313.75
Italy,2021,Motor,84.88,4,29062674.29
Germany,2019,Motor,34.59,1,1431094.53
Spain,2023,Motor,41.56,3,3742754.43
Greece,2022,Sailing,15.61,5,425530.58
Italy,2023,Motor,72.85,3,19840472.5
Netherlands,2020,Motor,39.2,2,2666685.48
Greece,2022,Motor,42.27,5,7041145.45
USA,2021,Motor,57.44,2,7871472.47
Netherlands,2022,Sailing,42.28,4,4197109.88
Greece,2022,Motor,40.43,4,3586259.36
USA,2019,Motor,14.64,3,303553.35
Other,2020,Motor,7.68,3,50066.49
Greece,2021,Motor,56.61,3,8135060.74
Other,2022,Catamaran,32.63,5,2949898.56
UK,2023,Motor,10.47,3,143872.09
USA,2018,Sailing,41.13,4,3276535.94
Turkey,2019,Sailing,42.67,1,1778175.84
USA,2019,Motor,70.49,3,13316222.84
Italy,2024,Motor,35.09,2,2921003.08
Italy,2022,Sailing,53.76,4,7743976.47
Other,2024,Motor,7.02,1,31871.62
Germany,2018,Sailing,47.05,2,3120297.32
Italy,2023,Motor,74.09,5,31386880.15
USA,2018,Motor,31.21,4,2018859.6
Italy,2018,Motor,49.58,3,5640353.62
Italy,2019,Motor,72.51,3,15889537.7
USA,2023,Motor,51.76,3,7656302.53
Italy,2018,Motor,15.72,4,395358.57
Italy,2021,Sailing,35.05,5,4154824.37
Italy,2019,Motor,18.51,3,490221.93
UK,2021,Motor,66.84,5,22750729.9
USA,2019,Catamaran,34.98,4,2598172.93
Other,2024,Sailing,15.96,2,276425.05
Other,2018,Sailing,8.47,3,42251.64
France,2024,Motor,33.4,3,2387102.68
Italy,2022,Motor,17.56,3,553890.14
France,2024,Motor,26.42,2,1337234.05
UK,2024,Sailing,39.57,2,3060675.85
Other,2022,Motor,26.25,4,1541931.31
USA,2022,Motor,31.94,3,2494246.12
Greece,2024,Motor,39.42,3,3360074.81
USA,2024,Motor,39.73,1,3444854.05
USA,2022,Motor,23.28,2,889535.43
France,2022,Sailing,27.25,3,1288552.25
Italy,2024,Motor,15.79,4,590850.57
France,2024,Motor,77.67,3,25528950.34
Other,2019,Motor,37.74,3,2390897.65
Other,2018,Motor,29.58,1,813829.89
USA,2019,Motor,33.1,5,3464144.11
Turkey,2021,Motor,40.87,3,1432023.74
Other,2020,Motor,22.3,5,1103090.47
Other,2023,Motor,13.36,1,152825.94
Other,2020,Motor,25.82,2,830481.68
Other,2021,Motor,32.87,2,1621222.0
Netherlands,2022,Motor,43.39,1,3516091.0
Turkey,2020,Motor,41.75,2,2793634.12
USA,2019,Sailing,58.64,5,21222370.33
Other,2018,Motor,34.33,2,1561312.34
USA,2020,Sailing,6.08,2,26096.63
Germany,2023,Motor,37.33,1,2275912.37
Turkey,2022,Motor,43.08,3,3626078.42
Other,2021,Motor,35.63,2,1931592.14
Other,2023,Motor,42.37,2,3097266.09
Italy,2019,Sailing,37.17,4,2599636.06
France,2018,Motor,33.45,4,1926643.34
UK,2024,Motor,57.79,4,14980559.77
Italy,2021,Motor,27.15,1,1048456.18
Italy,2020,Motor,36.22,2,2361852.29
Netherlands,2020,Motor,32.64,1,1344916.78
Spain,2023,Sailing,33.95,1,1546916.47
Spain,2022,Sailing,42.41,2,2517277.17
Germany,2021,Motor,36.37,4,3253884.17
Spain,2021,Motor,38.98,2,2756643.51
USA,2018,Sailing,21.82,4,740367.74
Germany,2022,Catamaran,10.09,1,79195.71
Italy,2022,Motor,21.84,3,978228.15
Other,2023,Motor,27.34,3,1342205.99
UK,2020,Motor,40.55,4,3930140.04
Other,2021,Sailing,30.21,3,1187419.19
Italy,2023,Motor,43.57,3,4896240.04
Italy,2023,Motor,37.09,1,3051047.09
Other,2020,Motor,47.95,5,7194348.75
Other,2024,Motor,95.95,1,23988003.94
USA,2023,Motor,49.18,2,5652056.06
Netherlands,2021,Motor,38.0,5,4736937.98
Netherlands,2024,Motor,34.02,1,1755173.69
UK,2024,Motor,27.98,3,1902064.08
USA,2022,Motor,50.25,4,7822777.56
Other,2020,Motor,30.86,3,1381428.82
USA,2021,Motor,20.73,3,725742.26
Netherlands,2019,Motor,29.59,4,1638033.98
USA,2023,Motor,36.45,2,3042058.34
Italy,2019,Motor,16.43,5,206347.98
Spain,2024,Motor,28.06,2,1390591.63
Italy,2024,Sailing,39.38,3,3743307.9
Italy,2018,Sailing,35.51,4,2491209.36
Greece,2022,Motor,64.64,5,14384290.57
Italy,2023,Motor,48.51,1,5233450.55
Other,2022,Sailing,24.75,4,1091347.24
Netherlands,2024,Motor,58.8,3,10615748.5
USA,2024,Motor,54.84,3,28520283.4
USA,2023,Motor,43.58,5,8403412.78
USA,2019,Motor,25.84,3,1140074.94
Greece,2021,Motor,32.74,3,1881845.8
UK,2023,Motor,13.32,5,374782.28
USA,2022,Motor,32.55,3,2178792.94
Netherlands,2022,Motor,28.08,1,1118916.38
Other,2019,Motor,19.38,2,368957.54
Turkey,2023,Motor,33.32,3,2285300.15
USA,2023,Motor,69.75,2,14331328.86
Germany,2023,Motor,55.33,5,13414765.3
Italy,2018,Motor,18.84,4,659847.17
Other,2018,Motor,108.14,2,25884063.51
Italy,2021,Sailing,44.1,2,3151792.93
USA,2021,Motor,29.5,3,1528577.43
Other,2024,Motor,13.95,4,312413.44
France,2021,Motor,41.7,2,2955455.6
Other,2022,Motor,38.9,4,3782882.48
Other,2024,Motor,33.64,3,2593886.58
USA,2024,Motor,10.92,4,206399.51
Other,2020,Sailing,34.97,1,1061322.96
Other,2021,Catamaran,28.85,4,1375036.13
UK,2018,Motor,80.45,4,20976848.75
Turkey,2019,Motor,37.9,5,3256923.17
Germany,2023,Motor,31.31,5,3454212.12
Other,2024,Motor,42.01,2,3852253.68
Turkey,2024,Motor,8.57,4,102392.97
Other,2020,Motor,28.62,1,989611.09
Other,2021,Motor,6.71,3,39288.17
Netherlands,2024,Motor,55.92,3,11295653.87
Netherlands,2023,Motor,9.47,5,182788.28
Italy,2021,Motor,7.67,3,57749.16
Germany,2024,Motor,29.64,1,1507892.27
Italy,2024,Sailing,44.8,4,6292417.9
France,2021,Motor,50.83,3,5718445.3
Turkey,2021,Motor,29.28,4,1484677.49
USA,2022,Motor,42.2,4,4180390.76
USA,2019,Motor,27.7,2,1012931.47
Turkey,2022,Motor,6.5,2,29689.85
Turkey,2019,Motor,11.84,4,148870.69
Italy,2020,Motor,31.04,3,2194319.46
France,2020,Motor,26.64,1,839359.51
USA,2024,Motor,44.46,3,5546087.24
Turkey,2021,Motor,65.4,5,14664702.76
Netherlands,2019,Catamaran,15.54,4,362177.7
Greece,2022,Motor,7.1,1,29431.56
Turkey,2019,Sailing,34.78,2,1516078.73
Italy,2023,Motor,35.78,3,3215339.36
France,2019,Motor,9.39,2,66611.82
Other,2021,Motor,28.8,4,1514471.59
Spain,2024,Motor,68.91,3,16607891.02
Italy,2020,Motor,69.61,2,13010707.89
Netherlands,2023,Catamaran,36.55,1,2008518.96
Germany,2022,Sailing,11.1,2,102621.84
Other,2021,Sailing,27.38,4,1053976.32
Italy,2018,Sailing,28.53,1,790569.84
France,2023,Motor,26.28,2,1261155.48
Italy,2023,Sailing,36.68,4,3825161.63
Spain,2020,Motor,113.97,2,32447725.6
Turkey,2022,Motor,42.84,5,6188639.9
France,2020,Motor,66.3,3,10694026.07
USA,2022,Catamaran,21.76,5,1127412.32
Other,2019,Motor,30.01,5,2264217.02
Other,2022,Catamaran,31.92,4,1871938.77
Other,2018,Motor,53.3,4,6743138.4
Other,2024,Motor,42.64,3,3842901.66
France,2019,Motor,16.95,4,446302.62
Germany,2022,Motor,79.94,4,23288925.49
Other,2023,Motor,6.49,1,25482.95
France,2024,Motor,68.59,3,15452547.45
Spain,2018,Motor,37.08,2,1744219.28
Other,2018,Motor,43.69,4,3709417.42
Italy,2023,Motor,27.86,4,1867305.39
Spain,2023,Motor,31.77,4,2387598.62
USA,2019,Motor,27.3,2,1193804.13
Spain,2019,Motor,8.96,2,55875.52
Greece,2021,Motor,42.39,5,4983198.36
Netherlands,2023,Motor,33.4,3,2813827.19
Other,2024,Motor,41.09,2,3266363.02
Other,2021,Sailing,10.4,4,102681.66
USA,2024,Motor,62.46,3,13224205.14
USA,2023,Motor,12.09,2,186741.88
Italy,2024,Motor,9.43,5,197199.12
Germany,2023,Motor,38.74,2,3259167.78
UK,2019,Motor,11.89,4,210422.19
Italy,2020,Motor,32.78,3,3490822.53
Italy,2023,Motor,14.3,3,341645.3
Netherlands,2023,Motor,33.26,2,2024201.76
USA,2018,Motor,8.95,4,83615.02
Other,2018,Motor,26.8,2,800306.48
Other,2023,Catamaran,37.45,2,2255712.19
France,2020,Motor,81.56,5,32923033.97
USA,2019,Motor,32.75,2,1576080.89
Italy,2021,Motor,27.26,3,1471950.92
Other,2020,Motor,7.85,3,51312.82
Italy,2020,Motor,46.76,4,6136220.19
Other,2020,Catamaran,13.98,1,156011.56
Other,2022,Motor,95.4,5,41014963.95
UK,2020,Motor,36.34,5,3864848.05
Netherlands,2020,Motor,19.57,3,580399.79
USA,2023,Motor,34.82,4,3641617.43
Other,2022,Motor,29.57,3,1568716.32
Italy,2019,Motor,26.89,3,1422549.82
UK,2019,Motor,24.86,2,865833.2
Spain,2022,Motor,46.56,4,6835942.32
USA,2024,Motor,49.55,4,9728299.5
Turkey,2024,Motor,69.88,3,12432304.42
Greece,2020,Sailing,9.7,1,51429.6
Netherlands,2024,Motor,9.8,3,66987.72
UK,2022,Motor,29.6,2,1652923.25
USA,2022,Sailing,40.94,4,4701026.57
USA,2021,Motor,55.9,3,7435220.23
Netherlands,2023,Motor,20.43,5,1225713.95
Netherlands,2020,Motor,26.05,4,1393772.11
Greece,2024,Motor,84.59,2,21019526.85
Greece,2024,Sailing,8.76,1,53170.51
USA,2023,Motor,36.11,1,2404964.14
Netherlands,2020,Sailing,27.16,2,969329.69
Italy,2019,Motor,33.9,3,2489517.11
Other,2024,Motor,18.59,5,952184.66
Italy,2024,Motor,80.14,2,21638657.05
Italy,2019,Motor,46.44,3,4828732.92
Netherlands,2024,Motor,104.5,3,43001567.12
Other,2022,Motor,24.37,3,965943.77
Other,2022,Sailing,46.25,4,4251773.73
Spain,2021,Motor,26.8,1,725071.92
Turkey,2024,Motor,12.77,5,326092.03
USA,2023,Motor,27.53,4,1961320.46
Other,2021,Motor,20.44,2,523011.17
USA,2023,Motor,11.71,2,155410.59
Italy,2021,Motor,28.27,1,1107352.74
Other,2023,Motor,44.16,5,7474968.55
Other,2021,Motor,13.54,1,123341.05
Germany,2024,Motor,79.53,3,23485872.9
Germany,2022,Motor,109.78,2,40125263.86
Other,2023,Motor,37.81,5,4683075.82
Spain,2024,Motor,47.58,1,3855298.53
France,2024,Motor,30.03,4,2986621.11
USA,2022,Motor,18.09,4,583303.59
Italy,2022,Motor,30.67,3,1901670.82
Other,2024,Motor,63.2,1,8310497.47
UK,2023,Motor,38.03,2,2810161.86
Turkey,2022,Motor,39.73,4,3664095.07
Other,2022,Motor,28.56,4,1766710.14
Other,2020,Sailing,41.26,3,2687287.19
Netherlands,2023,Motor,27.34,2,1250811.94
USA,2018,Catamaran,15.18,5,458007.66
Other,2022,Motor,45.6,5,7409454.56
France,2020,Motor,31.59,4,2046521.48
Other,2021,Motor,78.72,3,16338061.34
Netherlands,2021,Motor,37.64,4,3161502.35
Turkey,2020,Motor,30.53,4,1733036.22
Turkey,2024,Motor,26.42,2,1015117.45
Other,2023,Motor,12.51,2,160599.04
Other,2021,Motor,118.23,3,48867740.85
Other,2018,Sailing,25.06,3,658966.85
UK,2020,Motor,34.05,3,2420867.65
USA,2019,Motor,40.97,2,3543564.4
Italy,2023,Motor,42.74,5,7426064.43
Other,2022,Motor,55.38,4,7843825.57
Turkey,2024,Motor,138.03,5,146568856.27
France,2021,Motor,40.05,4,4639629.62
France,2019,Motor,19.9,4,662698.4
Italy,2022,Motor,40.49,3,4268483.42
Netherlands,2022,Motor,30.28,1,1444001.45
Other,2023,Motor,37.55,3,2602894.69
USA,2021,Motor,37.17,1,2035917.3
Italy,2021,Motor,26.73,3,1423894.07
Netherlands,2022,Motor,27.93,1,1124469.37
Germany,2023,Motor,26.41,3,1553023.49
USA,2020,Motor,43.74,5,7876184.47
Other,2023,Motor,43.3,4,5340980.99
Netherlands,2021,Sailing,14.18,2,215569.32
Netherlands,2022,Motor,46.27,2,4575236.7
USA,2022,Motor,18.18,3,569615.23
Netherlands,2024,Motor,22.8,3,1089131.25
UK,2020,Motor,38.69,2,2635397.29
Italy,2021,Motor,39.75,5,6711496.06
USA,2024,Motor,33.51,2,2434053.44
Netherlands,2022,Motor,56.07,2,8694082.47
Italy,2022,Motor,77.79,3,22634261.49
Other,2022,Motor,15.33,3,321204.06
Italy,2024,Motor,44.22,3,6309952.4
USA,2024,Motor,9.36,2,101232.61
Germany,2020,Sailing,47.63,4,5367713.33
Italy,2024,Motor,43.71,4,6645691.05
UK,2023,Motor,29.39,3,1892682.49
Italy,2022,Motor,43.94,1,3240382.13
Greece,2019,Motor,54.46,3,6447074.04
Italy,2020,Motor,80.79,3,20869905.87
Netherlands,2024,Motor,38.87,3,3940167.67
USA,2019,Motor,34.22,2,1819683.54
Other,2019,Motor,21.98,4,707932.77
Turkey,2020,Motor,64.66,4,10731340.41
Italy,2023,Motor,9.71,1,79755.8
Spain,2023,Motor,46.21,5,7815513.97
USA,2022,Motor,10.03,5,94569.03
Turkey,2019,Catamaran,23.41,4,645981.53
Germany,2018,Motor,34.24,3,1809804.11
UK,2023,Motor,22.07,3,949793.83
Other,2019,Motor,68.6,1,6903558.0
Spain,2020,Motor,28.44,3,1300219.11
France,2024,Motor,29.96,2,1790486.86
Italy,2023,Sailing,36.53,3,2810111.83
UK,2021,Motor,12.0,3,174728.72
